StudentID,FirstName,LastName,Email,Phone,Major,Year
423,Fiona,Jones,alice251@college.edu,123-456-7890,Math,Year 1
424,Charlie,Jones,charlie788@university.edu,123-456-7890,Math,Year 2
425,Hannah,Brown,alice707@university.edu,345-678-9012,Biology,Year 4
426,Edward,Johnson,diana519@college.edu,234-567-8901,CS,Year 3
427,Alice,Smith,alice216@college.edu,345-678-9012,,Year 4
428,Diana,Johnson,bob611@college.edu,,Math,Year 4
429,Alice,Smith,charlie677@university.edu,,,Year 1
430,Diana,Brown,charlie517@college.edu,345-678-9012,Math,Year 2
431,Alice,Brown,charlie873@university.edu,345-678-9012,,Year 3
432,Fiona,Jones,diana854@university.edu,123-456-7890,Physics,Year 1
433,Edward,Johnson,charlie285@college.edu,345-678-9012,Math,Year 1
434,Hannah,Jones,bob736@college.edu,123-456-7890,,Year 1
435,Diana,Johnson,diana742@university.edu,,CS,Year 4
436,Hannah,Jones,bob629@college.edu,123-456-7890,Physics,Year 2
437,Hannah,Williams,alice120@university.edu,345-678-9012,Physics,Year 2
438,Hannah,Williams,alice836@university.edu,,CS,Year 3
439,George,Williams,alice893@college.edu,234-567-8901,,Year 2
440,Charlie,Williams,alice199@college.edu,123-456-7890,Biology,Year 2
441,Alice,Smith,bob577@university.edu,,CS,Year 1
442,Hannah,Williams,diana397@college.edu,123-456-7890,,Year 1
443,Alice,Brown,diana625@college.edu,,CS,Year 4
444,Hannah,Brown,charlie101@university.edu,,CS,Year 1
445,Diana,Smith,bob392@university.edu,123-456-7890,Math,Year 1
446,Charlie,Williams,alice652@college.edu,234-567-8901,,Year 1
447,Charlie,Williams,bob601@college.edu,,Biology,Year 1
448,Fiona,Williams,charlie480@university.edu,,Math,Year 4
449,George,Jones,charlie113@college.edu,,CS,Year 1
450,Fiona,Johnson,bob330@university.edu,234-567-8901,CS,Year 3
451,Fiona,Jones,bob183@college.edu,234-567-8901,CS,Year 3
452,Fiona,Johnson,bob842@college.edu,345-678-9012,,Year 3
453,Fiona,Williams,diana244@university.edu,123-456-7890,,Year 3
454,Fiona,Williams,alice956@university.edu,234-567-8901,Math,Year 1
455,Edward,Jones,bob127@college.edu,123-456-7890,Biology,Year 3
456,Charlie,Jones,bob262@university.edu,345-678-9012,Math,Year 1
457,Fiona,Johnson,bob360@university.edu,123-456-7890,Physics,Year 4
458,Hannah,Brown,charlie548@college.edu,234-567-8901,CS,Year 3
459,Charlie,Johnson,charlie559@college.edu,123-456-7890,CS,Year 2
460,Charlie,Jones,diana775@university.edu,234-567-8901,CS,Year 3
461,Bob,Jones,alice402@university.edu,123-456-7890,Math,Year 3
462,Edward,Smith,diana494@college.edu,234-567-8901,Math,Year 1
463,Fiona,Jones,alice806@college.edu,234-567-8901,CS,Year 3
464,Alice,Smith,charlie369@college.edu,123-456-7890,Math,Year 2
465,Diana,Brown,charlie704@college.edu,345-678-9012,,Year 1
466,George,Johnson,charlie943@college.edu,,,Year 1
467,Hannah,Johnson,diana460@university.edu,345-678-9012,Math,Year 4
468,Alice,Smith,bob232@college.edu,123-456-7890,CS,Year 4
469,Edward,Johnson,bob875@university.edu,345-678-9012,Math,Year 3
470,Diana,Jones,charlie612@university.edu,234-567-8901,Math,Year 4
471,Edward,Williams,bob675@college.edu,,Math,Year 4
472,Hannah,Smith,bob383@university.edu,123-456-7890,Physics,Year 4
473,Charlie,Johnson,diana206@university.edu,123-456-7890,,Year 1
474,Diana,Smith,alice786@university.edu,123-456-7890,Biology,Year 1
475,Charlie,Smith,charlie303@university.edu,,Biology,Year 1
476,Hannah,Williams,charlie404@university.edu,234-567-8901,Physics,Year 4
477,Alice,Jones,diana731@college.edu,123-456-7890,Math,Year 1
478,Hannah,Smith,diana923@college.edu,345-678-9012,Physics,Year 4
479,Alice,Johnson,bob466@university.edu,123-456-7890,Physics,Year 1
480,Diana,Brown,charlie719@university.edu,123-456-7890,CS,Year 1
481,Diana,Smith,alice981@college.edu,123-456-7890,,Year 2
482,Fiona,Smith,diana741@university.edu,123-456-7890,Biology,Year 3
483,Edward,Williams,alice610@university.edu,234-567-8901,Math,Year 4
484,Fiona,Jones,alice119@college.edu,345-678-9012,Biology,Year 2
485,Edward,Brown,charlie896@university.edu,234-567-8901,Biology,Year 1
486,Fiona,Johnson,charlie218@university.edu,345-678-9012,,Year 4
487,Charlie,Brown,diana297@university.edu,123-456-7890,Biology,Year 1
488,Diana,Johnson,charlie856@university.edu,,Biology,Year 3
489,Alice,Jones,charlie936@university.edu,234-567-8901,Physics,Year 2
490,Edward,Johnson,charlie790@college.edu,,,Year 3
491,Hannah,Williams,alice111@college.edu,234-567-8901,CS,Year 2
492,Edward,Williams,diana375@university.edu,123-456-7890,Math,Year 1
493,Alice,Williams,bob341@college.edu,234-567-8901,Biology,Year 3
494,Fiona,Williams,alice350@university.edu,123-456-7890,Math,Year 3
495,Edward,Brown,charlie225@college.edu,234-567-8901,CS,Year 1
496,George,Jones,alice316@college.edu,123-456-7890,Math,Year 3
497,Charlie,Johnson,charlie896@university.edu,123-456-7890,CS,Year 4
498,Diana,Johnson,charlie138@university.edu,345-678-9012,Physics,Year 2
499,Alice,Williams,alice283@university.edu,123-456-7890,Biology,Year 2
500,Diana,Williams,diana526@college.edu,345-678-9012,CS,Year 2
